TIME,RPM,RPM_motor_/_Cardan,TPS,Posição_do_acelerador,RPM_cardan,Ponto_de_ignição,MAP,Sonda_Geral,RPM_do_câmbio,2-step,Largada_validada,Marcha,Vazão_da_bancada_A,Fluxo_total_de_combustível,Ângulo_da_Fase_de_Injeção,Pressão_diferencial_de_combustível,Abertura_bicos_A,Tempo_de_Injeção_Banco_A,Temp._do_motor,Temp._do_Ar,Pressão_de_Óleo,Pressão_de_Combustível,Temperatura_do_óleo,Tensão_da_Bateria,Dwell_de_ignição,Eletroventilador_1_-_Enriquecimento,Pressão_do_freio,Sinal_de_sincronia_do_motor,Corte_na_desaceleração_(cutoff),Partida_do_motor,Lenta,Primeiro_pulso_de_partida,Injeção_rápida_e_de_decaimento,Ignição_(Cil_1),Ignição_(Cil_2),Ajuste_ativo,Tanque
0.020,1970,3.803,0.0,0.0,519,1.95,-0.25,0.000,818,OFF,OFF,2,3.28,3.28,358.73,3.34,4.20,2.570,85.4,29.2,2.17,3.09,-20.0,12.75,4.57,3.5,1450.3,ON,OFF,OFF,OFF,OFF,0.000,1.95,1.95,2,0.0
0.060,2037,3.678,0.0,0.0,554,1.72,-0.25,0.000,822,OFF,OFF,3,3.36,3.36,359.37,3.34,4.22,2.563,85.4,29.3,2.20,3.09,-20.0,12.80,4.57,3.5,1450.3,ON,OFF,OFF,OFF,OFF,0.000,1.72,1.72,2,0.0
0.100,2037,3.855,0.0,0.0,528,1.26,-0.25,0.000,822,OFF,OFF,2,3.43,3.43,361.60,3.34,4.38,2.576,85.4,29.3,2.19,3.09,-20.0,12.76,4.57,3.5,1450.3,ON,OFF,OFF,OFF,OFF,0.000,1.26,1.26,2,0.0
0.140,1977,3.822,0.0,0.0,517,1.90,-0.25,0.000,818,OFF,OFF,2,3.30,3.30,358.86,3.34,4.22,2.569,85.4,29.3,2.14,3.09,-20.0,12.75,4.57,3.5,1450.3,ON,OFF,OFF,OFF,OFF,0.000,1.90,1.90,2,0.0
0.180,2021,3.674,0.0,0.0,550,1.39,-0.25,0.000,817,OFF,OFF,3,3.36,3.36,360.67,3.34,4.30,2.563,85.4,29.3,2.23,3.10,-20.0,12.77,4.57,3.5,1450.3,ON,OFF,OFF,OFF,OFF,0.000,1.39,1.39,2,0.0
0.220,2003,3.791,0.0,0.0,528,1.40,-0.25,0.000,807,OFF,OFF,2,3.43,3.43,361.77,3.34,4.38,2.576,85.4,29.3,2.17,3.09,-20.0,12.72,4.58,3.5,1450.3,ON,OFF,OFF,OFF,OFF,0.000,1.40,1.40,2,0.0
0.260,1990,3.729,0.0,0.0,534,1.49,-0.25,0.000,806,OFF,OFF,2,3.36,3.36,359.63,3.34,4.30,2.569,85.4,29.3,2.16,3.09,-20.0,12.74,4.57,3.5,1450.3,ON,OFF,OFF,OFF,OFF,0.000,1.49,1.49,2,0.0
0.300,2003,3.737,0.0,0.0,536,1.42,-0.25,0.000,812,OFF,OFF,2,3.36,3.36,360.18,3.34,4.30,2.562,85.4,29.3,2.15,3.10,-20.0,12.78,4.57,3.5,1450.3,ON,OFF,OFF,OFF,OFF,0.000,1.42,1.42,2,0.0
0.340,1983,3.759,0.0,0.0,528,1.52,-0.25,0.000,812,OFF,OFF,2,3.36,3.36,359.41,3.34,4.21,2.569,85.4,29.3,2.16,3.09,-20.0,12.78,4.57,3.5,1450.3,ON,OFF,OFF,OFF,OFF,0.000,1.52,1.52,2,0.0
0.380,1980,3.771,0.0,0.0,525,1.62,-0.25,0.000,810,OFF,OFF,2,3.35,3.35,359.14,3.34,4.20,2.569,85.4,29.3,2.13,3.09,-20.0,12.75,4.57,3.5,1450.3,ON,OFF,OFF,OFF,OFF,0.000,1.62,1.62,2,0.0
